Name,Party,Constituency,Date of Birth,Education,State,Term,Body
Younous Tunde Kakako,SDP,Ifedapo,10/11/1950,Degree in Business Administration,Oyo,1992 - 1993,house
Akinremi J. Olusegun,SDP,Ona-Ara,02/11/1953,HND Marketing & Supply,Oyo,1992 - 1993,house
M. J. Ajayi Ahmed,SDP,Irepo,24/08/1958,NCE,Oyo,1992 - 1993,house
Oyediji S. Olubunmi,SDP,Ibadan North East,,B.A in Management,Oyo,1992 - 1993,house
Samson Lekan Latinwo,SDP,Ibadan South West,29/04/1959,B.L.,Oyo,1992 - 1993,house
Oladejo Oladeji,SDP,Egbada,05/10/1938,LL.B,Oyo,1992 - 1993,house
Adebayo A. Musibau,SDP,Oyo,16/08/1963,B.A. Hons,Oyo,1992 - 1993,house
Adisa Oladipo Nureni,SDP,Ido,02/04/1962,Majored in Transport & Engineering,Oyo,1992 - 1993,house
Oladejo Moses Olabanji,SDP,Akinyele,28/08/1935,Grade I Certificate in Eng. And Social Science,Oyo,1992 - 1993,house
Mudathir Sekoni,NRC,Orelope,21/10/1953,HND in Business Admin.,Oyo,1992 - 1993,house
Samuel O. Oyinlola,SDP,Ibarapa,22/06/1949,(GCE),Oyo,1992 - 1993,house
Nicholas Ojo-Alokomaro,SDP,Ogbomoso,13/10/1952,Secondary School Cert.,Oyo,1992 - 1993,house
Oyelakin James Ayodeji,SDP,Ogo-Oluwa,04/10/1951,HND,Oyo,1992 - 1993,house
Adekunle Olukayode,SDP,Orire,03/05/1955,NCE,Oyo,1992 - 1993,house
Thomas Teju Oke,SDP,Ogbomoso North,17/04/1957,LL.M Degree,Oyo,1992 - 1993,house
Suara A. Tunde,SDP,Ibadan North,07/04/1954,Certificate in Surveying,Oyo,1992 - 1993,house
Oyebanji O. Adeleke,SDP,Afijio,24/12/1942,Diploma in Marketing,Oyo,1992 - 1993,house
Taiwo Dominic Olalere,SDP,Kajola,23/08/1959,B.A. in Education,Oyo,1992 - 1993,house
Adegbola M. Ademola,NRC,Iseyin,1956,"Bachelor of Law LL.B, BL Hons",Oyo,1992 - 1993,house
Abdullahi Kani Wuse,SDP,Awe,1960,Diploma in Accounts & Audit,Plateau,1992 - 1993,house
Johnson J. Zogore,SDP,Bassa,23/11/1953,B.Sc. and Master of Science Economics,Plateau,1992 - 1993,house
Dongs Duncil Jyem,SDP,Langtang,1950,Diploma in Account & Audit,Plateau,1992 - 1993,house
Yakubu Usman Shehu,SDP,Kanem,13/01/1958,HND in Agriculture,Plateau,1992 - 1993,house
James E. Ogason Ajamia,SDP,Karu,20/11/1945,Diploma in Accounting,Plateau,1992 - 1993,house
Hassan Danladi,SDP,Keffi,17/04/1956,B.Sc.,Plateau,1992 - 1993,house
Dashe Amos Silas,SDP,Langtang North,17/04/1956,Bachelor of Law Degree,Plateau,1992 - 1993,house
James Fyakfu Bakfur,SDP,Mangu,05/05/1951,B.Sc. in Agriculture,Plateau,1992 - 1993,house
Gobum Benka Suwa,SDP,Pankshin,,B.Sc. in Civil Engineering,Plateau,1992 - 1993,house
Ibrahim Idi Waziri,SDP,Wase,1962,B.Sc. in Information Stud.,Plateau,1992 - 1993,house
Michael Bukwal,SDP,Shendam,15/06/1959,NCE,Plateau,1992 - 1993,house
Damian Daloeng,SDP,Quaan-Pan,07/11/1957,"B.Ed, Master of Ed.",Plateau,1992 - 1993,house
Musa Sanda,SDP,Lafia,15/05/1959,LL.B and BL,Plateau,1992 - 1993,house
James Vwi,SDP,Bakin Ladi,01/04/1952,Bachelor of Arts in Public Admin.,Plateau,1992 - 1993,house
Davon Sambo B. Gyec,SDP,Jos South,05/11/1958,Diploma in Community Medicine,Plateau,1992 - 1993,house
Danjuma Alkali,SDP,Toko,16/01/1950,B.Sc. Degree in Business Admin.,Plateau,1992 - 1993,house
Amina Moh'd Aliyu,SDP,Akwanga,October 1957,Teachers II Certificate,Plateau,1992 - 1993,house
Abe A. Usman,SDP,Obi,05/01/1957,Graduate,Plateau,1992 - 1993,house
Alfred Lliya Sagai,SDP,Lokkos,18/03/1955,LL.B (Hons),Plateau,1992 - 1993,house
Aminu Agwon Zang,SDP,Jos North,27/04/1960,Diploma in Industrial Design,Plateau,1992 - 1993,house
Ogah Alex Ewolo,SDP,Nasarawa,25/12/1957,"NCE Biology, Physics Maths & Chemistry",Plateau,1992 - 1993,house
Umaru Saihu Ogah,NRC,Doma,February 1944,Diploma in Public Admin.,Plateau,1992 - 1993,house
Abims A. Ebyei,SDP,Nasarawa Eggon,,,Plateau,1992 - 1993,house
Chris I. Chuama,NRC,Okrika,20/01/1956,He Studied Secretariat Admin.,Rivers,1992 - 1993,house
Imegwu Nnabuihe,SDP,Oyigbo,02/04/1963,Graduated in Medicine,Rivers,1992 - 1993,house
Kpandel L. Baribor,NRC,Gokana,10/04/1959,Graduate,Rivers,1992 - 1993,house
E. M. Sam-Eligwe,NRC,Ahoda,29/12/1952,B.Sc. in Public Sc. & MPA,Rivers,1992 - 1993,house
Chris Alayae Don Pedro,NRC,Akuku-Toru,12/08/1958,Higher National Cert. in Business Studies,Rivers,1992 - 1993,house
Agbedi Y. Frederick,NRC,Ekeremor,20/02/1960,"Majored in English, History",Rivers,1992 - 1993,house
Ibiana Ibifuro Anye,SDP,Bonny,01/04/1942,Diploma in Child Health,Rivers,1992 - 1993,house
Igwe Mbombo Fred,NRC,Tai-Eleme,24/07/1963,Law Degree,Rivers,1992 - 1993,house
Friday Josiah Abigo,NRC,Tai-Eleme,24/07/1963,Law Degree,Rivers,1992 - 1993,house
Angolia Aboko,NRC,Abua/Oduan,13/08/1956,Degree in Education/ Management,Rivers,1992 - 1993,house
Samuel Lucky O. Oluo,NRC,Etche,25/10/1940,Doctorate Degree in Political Science,Rivers,1992 - 1993,house
Bolere Elizabeth Ketebu,NRC,Yenagoa,25/10/1954,Master's Degree in Public Health,Rivers,1992 - 1993,house
John Chukwuma Imegi,NRC,Ogba/Egbema/Ndoni,24/07/1963,MBA (Banking & Finance),Rivers,1992 - 1993,house
Enyndah Ibenyenwon,NRC,Ikwerre,23/09/1963,Master Degree in Ind. Chemistry & MBA (Finance),Rivers,1992 - 1993,house
Bassilo Michael,NRC,Ogbia,05/01/1959,Majored in Economics,Rivers,1992 - 1993,house
Felix Achinke Igwe,SDP,Obio/Akpor,12/07/1959,Diploma in Technology (Electrical),Rivers,1992 - 1993,house
Syder Nnodim,SDP,Emochua,17/05/1943,Studied Medicine,Rivers,1992 - 1993,house
Telimoye M. Oguara,NRC,Brass,,P.hd in Civil Engineering,Rivers,1992 - 1993,house
Sampson Gilbert Egop,NRC,Andoni/Opobo,26/12/1958,Graduate,Rivers,1992 - 1993,house
Eddie Esinkumo Ogoun,NRC,Sidga,25/07/1943,"AAS, B,.BA, M.A & Phd.",Rivers,1992 - 1993,house
Arthur C. Kalagbor,SDP,Port-Harcourt,07/03/1964,Graduate,Rivers,1992 - 1993,house
Linus Lebari Kpabari,NRC,Khana Rivers,05/08/1964,Studied Comparative Religion/Philosophy,Rivers,1992 - 1993,house
Paworiso S. Horsefall,NRC,Aswa-Toun,,,Rivers,1992 - 1993,house
Gushin Toun-Aregha,SDP,Sugbama,,,Rivers,1992 - 1993,house
Abdullahi A. A. Zurmi,NRC,Zurmi,21/02/1957,Diploma in Accounting,Sokoto,1992 - 1993,house
Muhammadu M. Kaya,NRC,Maradun,1956,National Diploma in Accountancy,Sokoto,1992 - 1993,house
Mohammed D. Yabo,NRC,Yabo,01/01/1949,School Cert.,Sokoto,1992 - 1993,house
Bala Umar Mahe,NRC,Kaura-Namoda,1953,NCE,Sokoto,1992 - 1993,house
Bala Aminu Alhaji,NRC,Sokoto,29/10/1964,Diploma in Law,Sokoto,1992 - 1993,house
Haruna D. Sabon-Birini,NRC,Sabon Birnin,15/01/1956,Educated,Sokoto,1992 - 1993,house
Absullahi M. Binji,NRC,Binji,13/04/1963,Grade II Certificate,Sokoto,1992 - 1993,house
Abubakar Aliyu Gumbi,NRC,Wamamko,1953,Educated,Sokoto,1992 - 1993,house
Abdulkadir K. M. Gusau,NRC,Gusau,16/04/1940,Educated,Sokoto,1992 - 1993,house
Nahuche A. Abdulkarim,NRC,Bungudu,1945,Bachelor's Degree in Ed.,Sokoto,1992 - 1993,house
Muhammed Usman,NRC,Bukkuyum,1955,Grade II Certificate,Sokoto,1992 - 1993,house
Umaru Yakubu Maru,NRC,Anka,1952,School Cert.,Sokoto,1992 - 1993,house
Usman Abdullahi Illela,NRC,Illela,12/12/1958,WAEC Certificate,Sokoto,1992 - 1993,house
Shehu Labaran,NRC,Gwadabawa,15/06/1949,Certificate of Supervision and Inspection,Sokoto,1992 - 1993,house
Abdullah W. Tambawal,NRC,Tambawal,16/08/1960,Diploma in Law and Diploma Journalism,Sokoto,1992 - 1993,house
Umaru Saidu Gada,NRC,Gada,January 1949,"NRN, RPN, DNAM",Sokoto,1992 - 1993,house
Mwazu Ahmed,NRC,Bakura,1946,Secondary School Cert.,Sokoto,1992 - 1993,house
Atiku Lima Gande,NRC,Silame,1962,Diploma in Local Govt. Administration,Sokoto,1992 - 1993,house
Bello Mode,NRC,Kware,04/01/1954,Bachelor's Degree in Marketing,Sokoto,1992 - 1993,house
Muh'd A. A. Marafa,NRC,Talata Marafa,25/12/1958,HND in Irrigation Agronomy,Sokoto,1992 - 1993,house
Ikira Aliyu,NRC,Tsafe,1957,Diploma in Banking and Finance,Sokoto,1992 - 1993,house
Garba G/Madu,NRC,Tangaza,14/04/1960,Diploma in Accountancy,Sokoto,1992 - 1993,house
Aliyu Shehu Achida,NRC,Wumo/Achida,20/06/1959,Educated,Sokoto,1992 - 1993,house
Abubakar Hagiru Dange,NRC,Dangashuni,1960,B.Sc in Vocational/Tech. Education,Sokoto,1992 - 1993,house
Suleman Adamu,NRC,Gummi,,,Sokoto,1992 - 1993,house
A. Bello Tudu Isa,NRC,Isa,,,Sokoto,1992 - 1993,house
Musa Usman,NRC,Goronyo,,,Sokoto,1992 - 1993,house
Aliyu Mohammed,NRC,Rabah,,,Sokoto,1992 - 1993,house
Yusuf Muazu Dorhella,NRC,,,,Sokoto,1992 - 1993,house
Assoshi Philip Kundila,SDP,Lau,21/04/1948,E. ED. in Language,Taraba,1992 - 1993,house
Haruna A. Suleiman,SDP,Ibi,,He hold IJMB 11,Taraba,1992 - 1993,house
Baku S. Tsokwa,SDP,Wukari,"July 27, 1954",B. Pharm (Hons),Taraba,1992 - 1993,house
Samuel D. Alhamdu,SDP,Zing,1964,Diploma in Theology,Taraba,1992 - 1993,house
Hamza Bappa M. Ribadu,NRC,Jalingo,20/02/1961,GCE,Taraba,1992 - 1993,house
Abbo Yakubu,NRC,Gashaka,02/06/1960,"Grade II, Teacher Cert.",Taraba,1992 - 1993,house
Ishaya Alawaki Andrew,SDP,Sarduana,25/09/1958,Diploma in Education,Taraba,1992 - 1993,house
David Abra Kwati,SDP,Yorro,02/02/1965,Grade II,Taraba,1992 - 1993,house
Yakubu Kashibu,NRC,Takum,1942,Certificate in Painting and Decoration,Taraba,1992 - 1993,house
Manwe Jerimon Samuel,SDP,Karim Lamido,26/06/1958,Diploma in Accountancy,Taraba,1992 - 1993,house
Ahmed Abubakar,SDP,Bali,1960,National Health Cert.,Taraba,1992 - 1993,house
Reuben Yahaya Garpiya,SDP,Donga,13/03/1943,HND in Secretariat Studies,Taraba,1992 - 1993,house
Mustapha Wa'a Kayeri,SDP,Fune,1964,GCE,Yobe,1992 - 1993,house
Bashir Sheriff Ahmed,SDP,Machina,05/08/1964,National Diploma in Animal Health,Yobe,1992 - 1993,house
Tijani Zannah Zakariya,SDP,Yusufari,27/08/1966,Secondary School Cert.,Yobe,1992 - 1993,house
Afuno Bulama Masaba,SDP,Bursari,1953,B.Sc,Yobe,1992 - 1993,house
Alhassan Adamu Tikau,SDP,Nangere,15/01/1954,B.Sc,Yobe,1992 - 1993,house
Sanda Yelwa,SDP,Fika,1963,LL.B (Hons) B.L.,Yobe,1992 - 1993,house
Umaru Audu,SDP,Geidam,10/03/1960,Diploma in Agriculture,Yobe,1992 - 1993,house
Ahmed Alhaji Musa,SDP,Yunusari,01/01/1960,Diploma in Local Govt. Finance & Administration,Yobe,1992 - 1993,house
Wakil Maidala Bularafa,SDP,Gujiba,1957,ND in Estate Management,Yobe,1992 - 1993,house
Madu Kolo Yawudima,SDP,Damturu,1957,Diploma in Forestry,Yobe,1992 - 1993,house
Sani Dahir El-Katuzu,SDP,Bade,12/09/1960,Diploma in Forestry,Yobe,1992 - 1993,house
Mohammed M. Nguru,SDP,Nguru,22/01/1960,B.Sc. Library and Information Science.,Yobe,1992 - 1993,house
Waya D. Lamarbago,PDP,Jakusko,,,Yobe,1992 - 1993,house
Ibrahim K. Mijindadi,NRC,Gwagwalada,1953,National Certificate of Education,Federal Capital Territory,1992 - 1993,house
Gaza Lazarus Zuka,SDP,Municipality,18/06/1960,"B. A in Pol. Science; M. SC, Rural Development",Federal Capital Territory,1992 - 1993,house
Umoru Abdullai,NRC,Abaji,,,Federal Capital Territory,1992 - 1993,house
Jacob E. Othman,NRC,Kuje,,,Federal Capital Territory,1992 - 1993,house
Adolphus N. Wabara,PDP,Abia South,01/06/1948,Masters Degree,Abia,1999 - 2003,senate
Ike Omar S. Nwachukwu,PDP,Abia North,01/09/1940,Military Diploma,Abia,1999 - 2003,senate
John Bob Nwannunu,PDP,Abia Central,05/09/1950,Doctor of Medicine Degree,Abia,1999 - 2003,senate
Jonathan S. Zwingina,PDP,Adamawa South,01/08/1954,Doctoral Degree in Political Science,Adamawa,1999 - 2003,senate
Iya Abubakar,PDP,Adamawa North,14/12/1938,Doctoral Degree & Doctor of Science Degree,Adamawa,1999 - 2003,senate
Abubakar Halilu Girei,PDP,Adamawa Central,14/03/1954,Master of Business Admin.,Adamawa,1999 - 2003,senate
Akpanudoedehe John James,PDP,Akwa Ibom North East,10/11/1960,Bachelors Degree in Sociology /Anthropology,Akwa Ibom,1999 - 2003,senate
Emmanuel Ibok Essien,PDP,Akwa Ibom North West,15/12/1956,Bachelor of Engineering (Civil Engineering),Akwa Ibom,1999 - 2003,senate
Udoma Udo Udoma,PDP,Akwa Ibom South,02/02/1954,Bachelor of Law Degree; BCL (Law),Akwa Ibom,1999 - 2003,senate
Mike N. I. Ajegbo,PDP,Anambra Central,23/03/1949,Bachelor of Law Degree,Anambra,1999 - 2003,senate
Eriobuna Nnamdi,PDP,Anambra South,06/11/1948,Doctor of Medicine in General Medicine,Anambra,1999 - 2003,senate
Chuba Okadigbo,PDP,Anambra North,17/12/1941,Doctoral Degree in Pol. Science and Doctor of Philosophy,Anambra,1999 - 2003,senate
Salisu I. Musa-Matori,PDP,Bauchi South,22/04/1941,"Diploma in Bus. Admin., & Professional Cert.",Bauchi,1999 - 2003,senate
M. B. Mustapha,PDP,Bauchi North,1949,Masters Degree in Accountancy,Bauchi,1999 - 2003,senate
Idi Othman Guda,PDP,Bauchi Central,1946,Bachelor of Ed.,Bauchi,1999 - 2003,senate
David Cobbina Brigidi,PDP,Bayelsa Central,16/09/1962,Bachelor of Law Degree & Barrister at Law,Bayelsa,1999 - 2003,senate
Emmanuel Wenekado T.,AD,Bayelsa West,24/02/1946,Diploma in Textile Distribution,Bayelsa,1999 - 2003,senate
Melford Okilo,PDP,Bayelsa East,30/11/1933,Bachelor of Law Degree,Bayelsa,1999 - 2003,senate
David Bonaventure A. Mark,PDP,Benue South,08/04/1948,Bachelor of Engineering Degree in Telecommunication,Benue,1999 - 2003,senate
Waku J. K. N.,PDP,Benue North-West,12/06/1946,PGD in Management,Benue,1999 - 2003,senate
Daniel Iyorkegh Saror,PDP,Benue North-East,09/10/1941,Doctoral Degree,Benue,1999 - 2003,senate
Maina Ma'aji Lawan,PDP,Borno North,12/07/1954,Bachelor of Business Admin.,Borno,1999 - 2003,senate
Ali Modu Sheriff,APP,Borno Central,,Doctoral Degree,Borno,1999 - 2003,senate
Abubakar Mahdi,PDP,Borno North,1950,HND,Borno,1999 - 2003,senate
Florence Ita-Giwa,APP,Cross River South,19/02/1946,,Cross River,1999 - 2003,senate
Pius Adede,PDP,Cross River North,,,Cross River,1999 - 2003,senate
Matthew T. Mbu,PDP,Cross River Central,02/11/1956,Doctor of Jurisprudence in Law,Cross River,1999 - 2003,senate
Fred Aghogho Brume,PDP,Delta Central,25/09/1942,M.Sc Ind. Management,Delta,1999 - 2003,senate
Omu Stella,PDP,Delta South,,,Delta,1999 - 2003,senate
Osakwe Patrick,PDP,Delta North,01/08/1948,Master of Science Degree in International Relations,Delta,1999 - 2003,senate
Sylvanus Ngiji Ngele,PDP,Ebonyi North,15/06/1952,GCE,Ebonyi,1999 - 2003,senate
Usulor Obasi Vincent,PDP,Ebonyi Central,15/07/1948,"Bachelor of Law Degree, Barrister at Law",Ebonyi,1999 - 2003,senate
Anyim Pius Anyim,PDP,Ebonyi South,February 1961,Bachelor of Law Degree i,Ebonyi,1999 - 2003,senate
Oserheimen A. Osunbor,PDP,Edo Central,05/10/1951,Doctoral Degree in Law,Edo,1999 - 2003,senate
Owie Roland Stephen,PDP,Edo South,28/08/1945,Bachelor of Arts in Geography,Edo,1999 - 2003,senate
Victor Kassim Isa Oyofo,PDP,Edo North,11/06/1943,B.Sc. in Petroleum Geology,Edo,1999 - 2003,senate
Ajayi Joseph Olatunji,AD,Ekiti North,21/08/1940,B.Sc. in Economics,Ekiti,1999 - 2003,senate
Daniel Gbenga Aluko,PDP,Ekiti South,20/08/1963,Bachelors Degree in Geography & Regional Planning,Ekiti,1999 - 2003,senate
Oni Ayoade,AD,Ekiti Central,19/11/1939,"B.Sc. in Engineering, M.I.C.E.",Ekiti,1999 - 2003,senate
Jim Nwobodo,AD,Enugu East,09/05/1940,Bachelor of Arts in English,Enugu,1999 - 2003,senate
Hyde U. Onuaguluchi,APP,Enugu West,11/11/1949,"Bachelor & Master of Law Degree, M.Sc Bus. Admin. in Finance & Doctoral Degree in Christian Literature",Enugu,1999 - 2003,senate
Fidelis C. Okoro,AD,Enugu North,,"B.Sc., and M.Sc Business Administration",Enugu,1999 - 2003,senate
Umaru Usman Dukku,PDP,Gombe North,December 1944,PGD in Public Admin.,Gombe,1999 - 2003,senate
Saidu Umar Kumo,PDP,Gombe Central,November 1949,HND in Public Admin.,Gombe,1999 - 2003,senate
Idris Abubakar,APP,Gombe South,13/11/1955,Bachelor of Law Degree,Gombe,1999 - 2003,senate
Evan Enwerem,PDP,Imo East,29/10/1935,Bachelor of Law Degree,Imo,1999 - 2003,senate
Ifeanyi G. Ararume,PDP,Imo North,12/12/1958,Master of Science Degree in International Relations,Imo,1999 - 2003,senate
Arthur Nzeribe,ANPP,Imo West,02/11/1938,WASC,Imo,1999 - 2003,senate
Bello Maitama Yusuf,APP,Jigawa Central,04/04/1947,LL.D Degree in Law,Jigawa,1999 - 2003,senate
Muhammed Ibrahim,APP,Jigawa East,1952,GCE,Jigawa,1999 - 2003,senate
Mohammed D. Alkali,PDP,Jigawa North West,17/01/1950,Diploma in Business Studies (Management),Jigawa,1999 - 2003,senate
Muktar A. Mohammed,APP,Kaduna Central,05/02/1948,"CPL, ATP, A&E Engineering",Kaduna,1999 - 2003,senate
Dalhatu S. Tafida,PDP,Kaduna North,24/11/1940,Medical Degree; BS MRCP and Doctor of Philosophy,Kaduna,1999 - 2003,senate
Haruna Zego Aziz,PDP,Kaduna South,05/07/1942,City & Guilds of London Flying Licences and Mgt Cert.,Kaduna,1999 - 2003,senate
Masa'ud El-Jibril Doguwa,PDP,Kano South,1955,B.Ed Administration and Planning Degree,Kano,1999 - 2003,senate
Bello Hayatu Gwarzo,PDP,Kano North,14/04/1960,ND in Statistic,Kano,1999 - 2003,senate
Ibrahim Kura Mohammed,PDP,Kano Central,1945,Bachelor of Arts in Bus. Administration,Kano,1999 - 2003,senate
Mohammed T. Liman,PDP,Katsina South,12/02/1948,Master in Public Admin.,Katsina,1999 - 2003,senate
Samaila Mamman,PDP,Katsina Central,18/07/1945,PGD,Katsina,1999 - 2003,senate
A. U. Yandoma,PDP,Katsina North,03/07/1953,Advanced Diploma Pub. Admin.,Katsina,1999 - 2003,senate
Adamu Baba Augie,APP,Kebbi North,,HND in Mass Communication,Kebbi,1999 - 2003,senate
Abubakar N. Abdullahi,APP,Kebbi Central,30/06/1947,Master of Arts in Dev. Economics,Kebbi,1999 - 2003,senate
Danladi Bamaiyi,PDP,Kebbi South,26/11/1950,Bachelor of Law Degree,Kebbi,1999 - 2003,senate
Ahmed Tijani Ahmed,PDP,Kogi Central,29/05/1943,Masters degree in English,Kogi,1999 - 2003,senate
Alex Usman Kadiri,APP,Kogi East,21/06/1942,Doctorate Degree,Kogi,1999 - 2003,senate
Jonathan Tunde Ogbeha,PDP,Kogi West,01/09/1947,WASC & Military Diploma,Kogi,1999 - 2003,senate
Salman Is'haq Adebayo,APP,Kwara Central,13/03/1954,Medical Degree,Kwara,1999 - 2003,senate
Makanjuola A. Suleiman,APP,Kwara South,03/06/1957,MBA,Kwara,1999 - 2003,senate
Zuruq Baba Ahmed,PDP,Kwara North,20/10/1951,PGD in Business/Admin. Management,Kwara,1999 - 2003,senate
Ogunlewe K. Adeseye,AD,Lagos East,05/12/1945,Bachelor Degree,Lagos,1999 - 2003,senate
Wahab O. Dosunmu,AD,Lagos West,14/05/1939,Doctoral Degree,Lagos,1999 - 2003,senate
Afikuyomi Tokunbo,AD,Lagos Central,,,Lagos,1999 - 2003,senate
Haruna Abubakar,PDP,Nasarawa South,06/06/1952,Bachelor of Law Degree & MPE,Nassarawa,1999 - 2003,senate
Abubakar D. Sodangi,PDP,Nasarawa West,31/01/1954,Bachelor of Law Degree,Nassarawa,1999 - 2003,senate
Aga Patrict,PDP,Nasarawa North,17/03/1945,Advance Diploma in Social Medicine,Nassarawa,1999 - 2003,senate
Idris Ibrahim Kuta,PDP,Niger East,01/10/1942,"OND, Diploma in Quantity Surveying, Doctor of Sc. in Quantity Surveying, MNIQS",Niger,1999 - 2003,senate
Isa Mohammed,PDP,Niger South,28/04/1948,"HSC, WASC",Niger,1999 - 2003,senate
Nuhu L. Aliyu,PDP,Niger North,13/06/1941,Sch. Cert.,Niger,1999 - 2003,senate
Otunba Olabiyi Durojaiye,AD,Ogun East,08/02/1933,"B.Sc. Econs., Bachelor of Law Degree and Barr. at Law MNI",Ogun,1999 - 2003,senate
Femi Okurounmu,AD,Ogun Central,11/08/1939,Doctor of Science in Mechanical Engineering,Ogun,1999 - 2003,senate
Olabimtan Afolabi,AD,Ogun West,11/06/1932,Doctoral Degree in African Languages,Ogun,1999 - 2003,senate
Lawrence Olawumi Ayo,AD,Ondo North,23/09/1932,Commercial Sch. Cert.,Ondo,1999 - 2003,senate
Meroyi S. Omololu,AD,Ondo South,01/01/1950,"M.Sc (Econs, Industrial Relations & Personnel Management",Ondo,1999 - 2003,senate
Gbenga Ogunniya,AD,Ondo Central,24/09/1949,Bachelor of Arts Degree in Political Science,Ondo,1999 - 2003,senate
Mojisoluwa Akinfenwa,AD,Osun East,12/07/1933,"Bachelor of Arts in History, Religious and Government",Osun,1999 - 2003,senate
Sunday Olawale Fajinmi,AD,Osun West,16/11/1952,HND in Marketing,Osun,1999 - 2003,senate
Salami A. Adebayo,,Osun Central,26/07/1951,HND in Accountancy,Osun,1999 - 2003,senate
Peter Oluwuyi Adeyemo,AD,Oyo South,01/01/1955,Doctoral Degree in Architecture,Oyo,1999 - 2003,senate
Lekan Balogun,AD,Oyo Central,18/10/1945,Doctoral Degree in Political Science,Oyo,1999 - 2003,senate
Brimmo Yemi Yusuf,AD,Oyo North,26/10/1945,WASC,Oyo,1999 - 2003,senate
Davou D. B. Zang,PDP,Plateau North,23/06/1956,B.Sc. in Management,Plateau,1999 - 2003,senate
Silas Janfa,PDP,Plateau South,14/07/1942,PGD in Financial Management,Plateau,1999 - 2003,senate
Ibrahim Nasiru Mantu,PDP,Plateau Central,16/02/1947,"Diploma in Professional Salesmanship, GCE",Plateau,1999 - 2003,senate
Martyns-Yellowe Ibiapoye S.,PDP,Rivers West,12/11/1945,"Medical Degree, DPM, MRC Psych., EMC Psych.",Rivers,1999 - 2003,senate
Adawari Michael Pepple,PDP,Rivers South East,30/04/1962,Bachelor of Law Degree,Rivers,1999 - 2003,senate
John Azuta-Mbata,PDP,Rivers East,03/01/1960,"M.Sc. (Public Admin), Ph.D",Rivers,1999 - 2003,senate
Aliyu M. Abubakar III,APP,Sokoto North,1942,Diploma in Public and Social Administration,Sokoto,1999 - 2003,senate
Bello Jibril Gada,APP,Sokoto East,1954,Advanced Diploma in Public Admini (ADPA),Sokoto,1999 - 2003,senate
Abdallah M. Wali,PDP,Sokoto South,02/02/1960,Master of Business Admin. (MBA),Sokoto,1999 - 2003,senate
Bala Abdullahi Adamu,PDP,Taraba North,27/11/1958,M.Sc. in Educational Management,Taraba,1999 - 2003,senate
Abdulazeez A. Ibrahim,PDP,Taraba Central,27/11/1957,Bachelor of Chemical Engineering and Master of Bus. Admin.,Taraba,1999 - 2003,senate
Dalhatu Umaru Shagari,APP,Taraba South,02/03/1958,Doctoral Degree in Land Resources Development,Taraba,1999 - 2003,senate
Usman Albishir,APP,Yobe North,15/06/1945,Secondary Sch. Ed.,Yobe,1999 - 2003,senate
Mamman Bello Ali,PDP,Yobe South,04/04/1958,HND Civil Engineering and B.Sc. (Construction),Yobe,1999 - 2003,senate
Goni Modu Zanna Bura,PDP,Yobe East,1960,ND in Secretarial Admin.,Yobe,1999 - 2003,senate
Yushau Moh'd Anka,APP,Zamfara West,19/04/1948,MBA in Petroleum Mngt,Zamfara,1999 - 2003,senate
"Dansadan, Saidu Muh'd",APP,Zamfara Central,20/06/1953,PGD in Public Admin.,Zamfara,1999 - 2003,senate
Lawali Shuaibu,APP,Zamfara North,"April 18, 1955",HND in Marketing,Zamfara,1999 - 2003,senate
Khairat Abdulrazaq,PDP,FCT,,Masters Degree (LL.M),Federal Capital Territory,1999 - 2003,senate
Adolphus N. Wabara,PDP,Abia South,"June, 1948",Master Degree,Abia,2003 - 2007,senate
Uche Chukwumerije,PDP,Abia North,"November, 1939",Bachelor's Degree in Economic,Abia,2003 - 2007,senate
Adighije Chris,PDP,Abia Central,"March, 1945",Doctorate Degree in Geology,Abia,2003 - 2007,senate
Iya Abubakar,PDP,Adamawa North,"December, 1940",Doctorate Degree & B.SC,Adamawa,2003 - 2007,senate
Jonathan Silas Zwingina,PDP,Adamawa South,"August, 1954",Ph.D Political Science,Adamawa,2003 - 2007,senate
Prof. Jibril Aminu,PDP,Adamawa Central,"August, 1939",Professor of Medicine attended FRCS,Adamawa,2003 - 2007,senate
Effiong D. Bob,PDP,Akwa Ibom North East,"October, 1959",Bachelor in Law Degree,Akwa Ibom,2003 - 2007,senate
Ittak Bob Ekarika,PDP,Akwa Ibom North West,"February, 1934",Bachelor of Science Degree in Botany,Akwa Ibom,2003 - 2007,senate
Udoma Udo Udoma,PDP,Akwa Ibom South,"February, 1954",Master of Law Degree; BCL (Law),Akwa Ibom,2003 - 2007,senate
Abana I. Godson,PDP,Anambra Central,"July, 1965",Master Degree in Business Administration FRC,Anambra,2003 - 2007,senate
Ugochukwu Uba,PDP,Anambra South,"May, 1949",Doctorate Degree in Political Science,Anambra,2003 - 2007,senate
Emma Anosike,PDP,Anambra North,"December, 1961","Bachelor of Sci. in Ed., National Certificate in Ed.",Anambra,2003 - 2007,senate
Abubakar Maikafi,PDP,Bauchi South,"January, 1955",Bachelor of Science Degree (Agric/Econs),Bauchi,2003 - 2007,senate
Baba Tela,PDP,Bauchi North,"December, 1959",Bachelor of Science Degree in Business Administration,Bauchi,2003 - 2007,senate
Bala Adamu,PDP,Bauchi Central,"January, 1954",Diploma,Bauchi,2003 - 2007,senate
